TS,VEJNAVN,beskrivelse,ÅR,KATEGORI,taelling_type,ANTAL 7-8,ANTAL 8-9,ANTAL 9-10,ANTAL 10-11,ANTAL 11-12,ANTAL 12-13,ANTAL 13-14,ANTAL 14-15,ANTAL 15-16,ANTAL 16-17,ANTAL 17-18,ANTAL 18-19,TOTAL,længdegrader,bredegrader,KØRETØJER ÅDT,KØRETØJER HDT,CYK+KNALL ÅDT,CYK+KNALL HDT,FODGÆNGERE ÅDT,FODGÆNGERE HDT,LADCYKLER %,TUNG TRAFIK %
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,2015,CYKLER + KNALLERTER,Andre faste tællinger,1786,3444,1422,724,723,882,739,1140,1843,2377,1894,1299,18273,12.565491397230991,55.677960848602766,0,0,0,0,0,0,,
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,2015,KØRETØJER ,Andre faste tællinger,4223,3713,3388,2916,3231,3341,3315,3883,4094,4101,3991,3198,43394,12.565491397230991,55.677960848602766,50800,56800,0,0,0,0,,0.035027884039268105
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,2015,LADCYKLER,Andre faste tællinger,13,40,22,8,8,7,10,14,31,32,15,11,211,12.565491397230991,55.677960848602766,0,0,0,0,0,0,,
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,2015,LASTBILER,Andre faste tællinger,87,101,106,137,112,128,101,83,48,31,21,22,977,12.565491397230991,55.677960848602766,0,0,0,0,0,0,,
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,2015,PERSONBILER + MC,Andre faste tællinger,3331,2981,2474,1972,2250,2414,2462,2997,3341,3550,3513,2800,34085,12.565491397230991,55.677960848602766,0,0,0,0,0,0,,
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,2015,"VAREVOGNE (MAX. 3,5 T)",Andre faste tællinger,764,577,748,771,834,761,701,754,654,473,412,340,7789,12.565491397230991,55.677960848602766,0,0,0,0,0,0,,
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,2016,A: LET TRAFIK I ALT,Andre faste tællinger,4185,3742,3050,2775,2705,3014,3017,3682,4145,3883,3723,3098,41019,12.565491397230991,55.677960848602766,0,0,0,0,0,0,,
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,2016,B: TUNG TRAFIK I ALT,Andre faste tællinger,170,193,209,162,151,127,174,161,98,72,63,51,1631,12.565491397230991,55.677960848602766,0,0,0,0,0,0,,
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,2016,BUSSER,Andre faste tællinger,52,61,59,41,47,41,72,60,60,43,43,36,615,12.565491397230991,55.677960848602766,0,0,0,0,0,0,,
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,2016,CYK+KNALL,Andre faste tællinger,2215,3937,1774,872,763,941,894,1373,2354,2959,2128,1391,21601,12.565491397230991,55.677960848602766,0,0,22200,26400,0,0,0.012453127170038424,
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,2016,CYKLER + KNALLERTER,Andre faste tællinger,2199,3892,1757,852,755,927,878,1346,2311,2929,2112,1374,21332,12.565491397230991,55.677960848602766,0,0,0,0,0,0,,
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,2016,KØRETØJER ,Andre faste tællinger,4355,3935,3259,2937,2856,3141,3191,3843,4243,3955,3786,3149,42650,12.565491397230991,55.677960848602766,49900,55900,0,0,0,0,,0.038241500586166474
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,2016,LADCYKLER,Andre faste tællinger,16,45,17,20,8,14,16,27,43,30,16,17,269,12.565491397230991,55.677960848602766,0,0,0,0,0,0,,
