TS,VEJNAVN,ÅR,KATEGORI,ANTAL 7-8,ANTAL 8-9,ANTAL 9-10,ANTAL 10-11,ANTAL 11-12,ANTAL 12-13,ANTAL 13-14,ANTAL 14-15,ANTAL 15-16,ANTAL 16-17,ANTAL 17-18,ANTAL 18-19
13,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,2013,A: LET TRAFIK I ALT,1140,1492,788,715,774,826,843,1101,1350,1470,1099,893
13,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,2013,ANDRE BUSSER,5,5,4,0,0,0,3,3,4,0,2,5
13,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,2013,B: TUNG TRAFIK I ALT,55,44,44,32,36,32,42,45,38,36,32,25
13,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,2013,BUSSER I FAST RUTE,26,26,22,17,16,19,20,22,26,28,28,19
13,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,2013,CYKLER + KNALLERTER,744,846,292,165,151,209,260,319,640,758,599,368
13,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,2013,CYKLER + KNALLERTER I ALT,749,850,297,168,152,212,260,323,651,764,601,370
13,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,2013,LADCYKLER,5,4,5,3,1,3,0,4,11,6,2,2
13,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,2013,"LASTBILER, 2 aksler",10,6,9,11,12,8,5,4,3,5,1,1
13,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,2013,"LASTBILER, 3 AKSLER",9,3,3,3,2,1,2,2,0,0,0,0
13,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,2013,"LASTBILER, 4 - flere aksler",5,4,6,1,6,4,12,14,5,3,1,0
13,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,2013,MOTORCYKLER,13,17,8,4,9,10,10,18,23,30,14,14
13,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,2013,PERSONBILER,932,1223,579,521,580,622,650,868,1110,1252,963,778
13,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,2013,"VAREVOGNE (MAX. 3,5 T)",195,252,201,190,185,194,183,215,217,188,122,101
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2016,A+B: KØRETØJER I ALT,1633,1550,1143,1123,1097,1135,1112,1375,1690,1787,1503,1144
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2016,A: LET TRAFIK I ALT,1581,1494,1088,1066,1050,1097,1065,1337,1659,1759,1478,1127
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2016,ANDRE BUSSER,1,4,5,3,1,1,1,2,1,0,0,0
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2016,B: TUNG TRAFIK I ALT,52,56,55,57,47,38,47,38,31,28,25,17
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2016,BUSSER I FAST RUTE,23,21,21,16,15,16,17,20,18,20,18,14
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2016,CYKLER + KNALLERTER,379,241,94,52,45,39,37,100,266,264,183,99
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2016,CYKLER + KNALLERTER I ALT,382,241,97,54,45,39,38,102,268,266,183,101
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2016,LADCYKLER,3,0,3,2,0,0,1,2,2,2,0,2
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2016,"LASTBILER, 2 aksler",6,11,10,9,9,9,10,5,6,3,4,1
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2016,"LASTBILER, 3 aksler",4,7,6,12,10,4,6,4,3,2,1,1
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2016,"LASTBILER, 4 - flere aksler",18,13,13,17,12,8,13,7,3,3,2,1
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2016,MOTORCYKLER,3,3,2,1,1,2,2,2,10,2,4,1
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2016,PERSONBILER,1251,1219,829,779,786,821,806,1055,1352,1561,1304,997
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2016,"VAREVOGNE (MAX. 3,5 T)",327,272,257,286,263,274,257,280,297,196,170,129
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2017,A+B: KØRETØJER I ALT,1551,1396,1020,1034,1035,1084,1162,1456,1667,1689,1504,1144
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2017,A: LET TRAFIK I ALT,1479,1329,945,980,979,1040,1111,1401,1623,1655,1456,1113
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2017,ANDRE BUSSER,3,2,0,2,2,0,5,1,0,1,2,1
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2017,B: TUNG TRAFIK I ALT,72,67,75,54,56,44,51,55,44,34,48,31
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2017,BUSSER I FAST RUTE,37,38,32,28,32,30,34,36,29,29,39,23
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2017,CYKLER + KNALLERTER,567,357,154,116,97,95,171,214,362,434,294,153
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2017,CYKLER + KNALLERTER I ALT,574,363,158,121,101,97,174,215,373,437,295,153
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2017,LADCYKLER,7,6,4,5,4,2,3,1,11,3,1,0
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2017,"LASTBILER, 2 aksler",14,11,15,11,13,4,7,9,8,3,5,6
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2017,"LASTBILER, 3 aksler",4,5,5,9,4,5,1,4,5,0,0,0
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2017,"LASTBILER, 4 - flere aksler",14,11,23,4,5,5,4,5,2,1,2,1
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2017,MOTORCYKLER,6,8,3,1,6,7,5,7,11,8,8,5
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2017,PERSONBILER,1204,1105,734,715,760,807,871,1111,1361,1457,1303,1000
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2017,"VAREVOGNE (MAX. 3,5 T)",269,216,208,264,213,226,235,283,251,190,145,108
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2018,A+B: KØRETØJER I ALT,1584,1537,1116,1108,1149,1214,1298,1513,1644,1310,1358,1083
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2018,A: LET TRAFIK I ALT,1525,1466,1051,1052,1100,1149,1254,1464,1602,1275,1326,1052
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2018,ANDRE BUSSER,2,2,1,0,0,0,0,4,2,1,0,0
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2018,B: TUNG TRAFIK I ALT,59,71,65,56,49,65,44,49,42,35,32,31
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2018,BUSSER I FAST RUTE,32,36,35,30,30,31,32,31,31,27,26,26
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2018,CYKLER + KNALLERTER,753,501,186,112,111,131,213,288,562,519,435,256
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2018,CYKLER + KNALLERTER I ALT,763,506,192,113,115,135,219,292,568,524,445,259
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2018,LADCYKLER,10,5,6,1,4,4,6,4,6,5,10,3
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2018,"LASTBILER, 2 aksler",10,15,12,10,6,12,6,7,4,5,4,4
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2018,"LASTBILER, 3 aksler",4,5,5,6,5,12,2,1,2,0,0,0
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2018,"LASTBILER, 4 - flere aksler",11,13,12,10,8,10,4,6,3,2,2,1
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2018,MOTORCYKLER,14,11,7,10,8,11,15,13,13,6,9,15
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2018,PERSONBILER,1218,1198,823,805,835,868,968,1128,1296,1116,1182,942
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2018,"VAREVOGNE (MAX. 3,5 T)",293,257,221,237,257,270,271,323,293,153,135,95
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2019,A+B: KØRETØJER I ALT,1662,1599,1138,991,1036,1116,1170,1513,1744,1583,1417,1151
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2019,A: LET TRAFIK I ALT,1598,1532,1066,920,984,1063,1110,1463,1699,1535,1380,1125
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2019,ANDRE BUSSER,3,1,1,1,1,0,0,0,2,2,0,0
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2019,B: TUNG TRAFIK I ALT,64,67,72,71,52,53,60,50,45,48,37,26
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2019,BUSSER I FAST RUTE,33,33,39,29,27,33,33,34,32,36,31,23
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2019,CYKLER + KNALLERTER,339,241,75,47,52,89,97,181,319,362,265,165
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2019,CYKLER + KNALLERTER I ALT,342,246,82,49,54,94,99,190,331,368,268,167
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2019,LADCYKLER,3,5,7,2,2,5,2,9,12,6,3,2
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2019,"LASTBILER, 2 aksler",12,12,9,22,11,6,9,6,5,6,3,2
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2019,"LASTBILER, 3 aksler",8,11,6,7,7,4,8,4,2,2,1,0
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2019,"LASTBILER, 4 - flere aksler",8,10,17,12,6,10,10,6,4,2,2,1
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2019,MOTORCYKLER,1,2,5,0,1,2,0,3,3,5,7,7
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2019,PERSONBILER,1319,1299,851,704,757,847,903,1185,1450,1387,1237,1010
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2019,"VAREVOGNE (MAX. 3,5 T)",278,231,210,216,226,214,207,275,246,143,136,108
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2020,A+B: KØRETØJER I ALT,1597,1556,1084,1009,1125,1179,1221,1551,1700,1650,1442,1215
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2020,A: LET TRAFIK I ALT,1552,1508,1023,966,1079,1137,1170,1510,1674,1616,1414,1189
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2020,ANDRE BUSSER,1,2,4,3,1,2,0,2,2,1,1,1
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2020,B: TUNG TRAFIK I ALT,45,48,61,43,46,42,51,41,26,34,28,26
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2020,BUSSER I FAST RUTE,22,22,25,22,22,19,24,23,21,24,25,19
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2020,CYKLER + KNALLERTER,856,523,198,125,145,177,168,325,655,749,444,250
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2020,CYKLER + KNALLERTER I ALT,865,540,209,131,150,190,175,346,673,761,453,256
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2020,LADCYKLER,9,17,11,6,5,13,7,21,18,12,9,6
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2020,"LASTBILER, 2 aksler",4,10,11,9,5,7,9,8,2,4,1,2
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2020,"LASTBILER, 3 aksler",7,2,7,3,6,4,5,2,1,1,0,2
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2020,"LASTBILER, 4 - flere aksler",11,12,14,6,12,10,13,6,0,4,1,2
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2020,MOTORCYKLER,13,18,2,8,9,3,3,9,9,11,9,9
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2020,PERSONBILER,1294,1333,835,769,860,956,978,1283,1463,1439,1249,1065
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2020,"VAREVOGNE (MAX. 3,5 T)",245,157,186,189,210,178,189,218,202,166,156,115
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2021,A+B: KØRETØJER I ALT,1427,1411,1004,1080,1144,1231,1279,1542,1659,1575,1407,1250
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2021,A: LET TRAFIK I ALT,1376,1352,927,1022,1083,1170,1220,1493,1617,1541,1373,1223
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2021,ANDRE BUSSER,1,2,6,1,0,0,1,1,1,0,0,0
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2021,B: TUNG TRAFIK I ALT,51,59,77,58,61,61,59,49,42,34,34,27
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2021,BUSSER I FAST RUTE,23,25,23,22,23,22,22,24,24,25,24,18
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2021,CYKLER + KNALLERTER,592,403,151,87,111,145,164,285,474,548,315,213
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2021,CYKLER + KNALLERTER I ALT,599,420,156,90,117,149,169,295,490,557,327,220
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2021,LADCYKLER,7,17,5,3,6,4,5,10,16,9,12,7
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2021,"LASTBILER, 2 aksler",3,7,4,12,11,11,7,9,7,8,6,6
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2021,"LASTBILER, 3 aksler",5,4,8,6,5,5,7,2,3,0,1,2
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2021,"LASTBILER, 4 - flere aksler",19,21,36,17,22,23,22,13,7,1,3,1
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2021,MOTORCYKLER,8,6,3,6,9,6,5,9,9,8,17,13
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2021,PERSONBILER,1088,1123,741,785,890,965,981,1228,1355,1370,1235,1108
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2021,"VAREVOGNE (MAX. 3,5 T)",280,223,183,231,184,199,234,256,253,163,121,102
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2015,A+B: KØRETØJER I ALT,1807,1532,1180,1023,1132,1110,1240,1489,1820,1830,1407,1088
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2015,A: LET TRAFIK I ALT,1754,1484,1124,977,1079,1076,1187,1434,1784,1797,1379,1066
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2015,ANDRE BUSSER,8,2,3,0,2,0,3,7,2,4,5,5
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2015,B: TUNG TRAFIK I ALT,53,48,56,46,53,34,53,55,36,33,28,22
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2015,BUSSER I FAST RUTE,19,23,18,15,15,15,18,21,20,20,20,14
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2015,CYKLER + KNALLERTER,658,388,145,115,105,164,138,244,482,522,354,155
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2015,CYKLER + KNALLERTER I ALT,660,392,146,117,107,167,139,245,485,528,357,156
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2015,LADCYKLER,2,4,1,2,2,3,1,1,3,6,3,1
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2015,"LASTBILER, 2 aksler",9,13,16,12,12,9,9,12,5,4,3,2
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2015,"LASTBILER, 3 AKSLER",6,4,5,6,5,2,8,6,5,3,0,1
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2015,"LASTBILER, 4 - flere aksler",11,6,14,13,19,8,15,9,4,2,0,0
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2015,MOTORCYKLER,13,10,9,6,6,10,5,17,25,24,21,21
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2015,PERSONBILER,1403,1209,857,730,817,829,873,1122,1459,1573,1175,927
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2015,"VAREVOGNE (MAX. 3,5 T)",338,265,258,241,256,237,309,295,300,200,183,118
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2022,A+B: KØRETØJER I ALT,1492,1393,1041,951,1116,1159,1263,1424,1602,1488,1380,1171
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2022,A: LET TRAFIK I ALT,1446,1334,975,898,1059,1103,1213,1374,1570,1447,1345,1146
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2022,ANDRE BUSSER,2,5,3,1,0,2,0,3,2,1,1,1
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2022,B: TUNG TRAFIK I ALT,46,59,66,53,57,56,50,50,32,41,35,25
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2022,BUSSER I FAST RUTE,23,23,22,23,21,24,19,24,21,29,24,19
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2022,CYKLER + KNALLERTER,613,472,174,93,82,107,148,262,536,544,301,149
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2022,CYKLER + KNALLERTER I ALT,631,484,183,105,90,114,154,278,562,559,315,152
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2022,LADCYKLER,18,12,9,12,8,7,6,16,26,15,14,3
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2022,"LASTBILER, 2 aksler",2,8,14,3,5,4,7,3,0,2,3,2
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2022,"LASTBILER, 3 aksler",2,6,5,8,13,7,5,4,2,2,1,0
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2022,"LASTBILER, 4 - flere aksler",17,17,22,18,18,19,19,16,7,7,6,3
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2022,MOTORCYKLER,5,7,0,5,6,4,4,9,10,8,11,3
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2022,PERSONBILER,1173,1127,787,720,839,880,975,1130,1341,1297,1180,1018
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2022,"VAREVOGNE (MAX. 3,5 T)",268,200,188,173,214,219,234,235,219,142,154,125
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2023,A+B: KØRETØJER I ALT,1421,1335,969,956,1070,1040,1115,1367,1443,1526,1297,1084
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2023,A: LET TRAFIK I ALT,1378,1285,906,897,1006,995,1074,1327,1413,1495,1269,1056
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2023,ANDRE BUSSER,1,4,1,0,0,0,0,3,0,2,0,2
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2023,B: TUNG TRAFIK I ALT,43,50,63,59,64,45,41,40,30,31,28,28
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2023,BUSSER I FAST RUTE,21,24,22,23,23,21,23,22,22,25,24,24
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2023,CYKLER + KNALLERTER,580,420,145,100,102,116,161,232,455,507,321,147
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2023,CYKLER + KNALLERTER I ALT,602,431,152,103,107,123,167,238,479,523,327,150
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2023,LADCYKLER,22,11,7,3,5,7,6,6,24,16,6,3
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2023,"LASTBILER, 2 aksler",1,7,12,11,11,8,4,4,3,0,0,1
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2023,"LASTBILER, 3 aksler",3,3,6,6,10,5,5,1,1,1,4,0
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2023,"LASTBILER, 4 - flere aksler",17,12,22,19,20,11,9,10,4,3,0,1
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2023,MOTORCYKLER,4,2,2,3,9,7,7,22,4,15,9,6
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2023,PERSONBILER,1175,1122,756,712,814,814,883,1143,1263,1313,1155,964
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2023,"VAREVOGNE (MAX. 3,5 T)",199,161,148,182,183,174,184,162,146,167,105,86
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2014,A+B: KØRETØJER I ALT,1702,1624,1103,1068,1098,1155,1180,1512,1786,1881,1585,1179
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2014,A: LET TRAFIK I ALT,1647,1558,1046,1026,1057,1118,1137,1455,1744,1850,1553,1160
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2014,ANDRE BUSSER,5,3,6,2,1,1,2,6,4,1,3,3
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2014,B: TUNG TRAFIK I ALT,55,66,57,42,41,37,43,57,42,31,32,19
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2014,BUSSER I FAST RUTE,23,22,21,14,16,19,19,21,21,20,20,14
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2014,CYKLER + KNALLERTER,590,414,142,87,73,71,138,217,353,388,312,156
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2014,CYKLER + KNALLERTER I ALT,592,424,143,89,73,72,139,218,354,389,312,159
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2014,LADCYKLER,2,10,1,2,0,1,1,1,1,1,0,3
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2014,"LASTBILER, 2 aksler",9,25,13,8,12,8,16,17,7,4,5,2
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2014,"LASTBILER, 3 AKSLER",4,6,4,4,3,3,1,7,4,3,1,0
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2014,"LASTBILER, 4 - flere aksler",14,10,13,14,9,6,5,6,6,3,3,0
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2014,MOTORCYKLER,13,10,7,3,2,2,4,7,6,10,9,4
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2014,PERSONBILER,1317,1297,779,764,797,862,853,1104,1474,1610,1354,1029
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2014,"VAREVOGNE (MAX. 3,5 T)",317,251,260,259,258,254,280,344,264,230,190,127
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2013,A+B: KØRETØJER I ALT,1758,1669,1013,908,1015,1131,1228,1468,1932,1782,1473,1158
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2013,A: LET TRAFIK I ALT,1695,1608,951,864,962,1080,1168,1422,1882,1751,1444,1139
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2013,ANDRE BUSSER,4,1,5,1,0,4,2,5,2,3,5,2
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2013,B: TUNG TRAFIK I ALT,63,61,62,44,53,51,60,46,50,31,29,19
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2013,BUSSER I FAST RUTE,21,24,18,16,16,17,15,20,22,19,17,12
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2013,CYKLER + KNALLERTER,601,419,167,91,121,165,156,256,462,464,304,204
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2013,CYKLER + KNALLERTER I ALT,604,425,170,94,122,165,156,263,467,466,308,205
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2013,LADCYKLER,3,6,3,3,1,0,0,7,5,2,4,1
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2013,"LASTBILER, 2 aksler",18,20,22,15,14,17,27,13,17,4,4,4
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2013,"LASTBILER, 3 AKSLER",4,5,5,5,10,5,4,5,5,1,0,0
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2013,"LASTBILER, 4 - flere aksler",16,11,12,7,13,8,12,3,4,4,3,1
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2013,MOTORCYKLER,17,11,3,12,4,6,12,9,14,7,9,5
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2013,PERSONBILER,1304,1305,705,636,694,784,896,1103,1542,1501,1248,994
14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2013,"VAREVOGNE (MAX. 3,5 T)",374,292,243,216,264,290,260,310,326,243,187,140
16,GL. KØGE LANDEVEJ 220A s.f. Vigerslevvej,2014,A+B: KØRETØJER I ALT,1275,1364,930,837,707,902,920,1062,1299,1336,1100,855
16,GL. KØGE LANDEVEJ 220A s.f. Vigerslevvej,2014,A: LET TRAFIK I ALT,1213,1292,876,780,664,861,874,1016,1261,1304,1064,825
16,GL. KØGE LANDEVEJ 220A s.f. Vigerslevvej,2014,ANDRE BUSSER,6,9,6,3,2,2,3,6,2,2,3,1
16,GL. KØGE LANDEVEJ 220A s.f. Vigerslevvej,2014,B: TUNG TRAFIK I ALT,62,72,54,57,43,41,46,46,38,32,36,30
16,GL. KØGE LANDEVEJ 220A s.f. Vigerslevvej,2014,BUSSER I FAST RUTE,26,23,17,17,14,16,16,22,24,19,25,22
16,GL. KØGE LANDEVEJ 220A s.f. Vigerslevvej,2014,CYKLER + KNALLERTER,567,429,154,75,95,109,152,189,406,504,350,195
16,GL. KØGE LANDEVEJ 220A s.f. Vigerslevvej,2014,CYKLER + KNALLERTER I ALT,567,432,156,75,95,109,155,190,412,507,350,198
16,GL. KØGE LANDEVEJ 220A s.f. Vigerslevvej,2014,LADCYKLER,0,3,2,0,0,0,3,1,6,3,0,3
16,GL. KØGE LANDEVEJ 220A s.f. Vigerslevvej,2014,"LASTBILER, 2 aksler",15,21,14,14,7,10,7,6,3,3,3,4
16,GL. KØGE LANDEVEJ 220A s.f. Vigerslevvej,2014,"LASTBILER, 3 AKSLER",8,10,6,8,8,6,9,4,2,3,4,1
