TS,vejnavn,beskrivelse,taelling_type,KATEGORI,ÅR,ANTAL 7-8,ANTAL 8-9,ANTAL 9-10,ANTAL 10-11,ANTAL 11-12,ANTAL 12-13,ANTAL 13-14,ANTAL 14-15,ANTAL 15-16,ANTAL 16-17,ANTAL 17-18,ANTAL 18-19,TOTAL,længdegrader,bredegrader
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,Andre faste tællinger,LADCYKLER,2015,13.0,40.0,22.0,8.0,8.0,7.0,10.0,14.0,31.0,32.0,15.0,11.0,211.0,12.565491397230991,55.677960848602766
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,Andre faste tællinger,LASTBILER,2015,32.0,49.0,37.0,45.0,45.0,51.0,46.0,39.0,21.0,17.0,9.0,5.0,396.0,12.565491397230991,55.677960848602766
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,Andre faste tællinger,PERSONBILER + MC,2015,3331.0,2981.0,2474.0,1972.0,2250.0,2414.0,2462.0,2997.0,3341.0,3550.0,3513.0,2800.0,34085.0,12.565491397230991,55.677960848602766
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,Andre faste tællinger,"VAREVOGNE (MAX. 3,5 T)",2015,764.0,577.0,748.0,771.0,834.0,761.0,701.0,754.0,654.0,473.0,412.0,340.0,7789.0,12.565491397230991,55.677960848602766
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,Andre faste tællinger,A: LET TRAFIK I ALT,2016,4185.0,3742.0,3050.0,2775.0,2705.0,3014.0,3017.0,3682.0,4145.0,3883.0,3723.0,3098.0,41019.0,12.565491397230991,55.677960848602766
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,Andre faste tællinger,B: TUNG TRAFIK I ALT,2016,170.0,193.0,209.0,162.0,151.0,127.0,174.0,161.0,98.0,72.0,63.0,51.0,1631.0,12.565491397230991,55.677960848602766
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,Andre faste tællinger,CYK+KNALL,2016,2215.0,3937.0,1774.0,872.0,763.0,941.0,894.0,1373.0,2354.0,2959.0,2128.0,1391.0,21601.0,12.565491397230991,55.677960848602766
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,Andre faste tællinger,CYKLER + KNALLERTER,2016,2199.0,3892.0,1757.0,852.0,755.0,927.0,878.0,1346.0,2311.0,2929.0,2112.0,1374.0,21332.0,12.565491397230991,55.677960848602766
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,Andre faste tællinger,KØRETØJER ,2016,4355.0,3935.0,3259.0,2937.0,2856.0,3141.0,3191.0,3843.0,4243.0,3955.0,3786.0,3149.0,42650.0,12.565491397230991,55.677960848602766
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,Andre faste tællinger,LADCYKLER,2016,16.0,45.0,17.0,20.0,8.0,14.0,16.0,27.0,43.0,30.0,16.0,17.0,269.0,12.565491397230991,55.677960848602766
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,Andre faste tællinger,LASTBILER,2016,57.0,58.0,59.0,50.0,45.0,40.0,45.0,40.0,17.0,17.0,8.0,7.0,443.0,12.565491397230991,55.677960848602766
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,Andre faste tællinger,PERSONBILER + MC,2016,3409.0,3131.0,2290.0,1992.0,1971.0,2277.0,2268.0,2919.0,3392.0,3458.0,3335.0,2785.0,33227.0,12.565491397230991,55.677960848602766
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,Andre faste tællinger,"VAREVOGNE (MAX. 3,5 T)",2016,776.0,611.0,760.0,783.0,734.0,737.0,749.0,763.0,753.0,425.0,388.0,313.0,7792.0,12.565491397230991,55.677960848602766
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,Andre faste tællinger,A: LET TRAFIK I ALT,2022,3935.0,3725.0,3023.0,2620.0,2790.0,2861.0,2933.0,3561.0,3770.0,3847.0,3480.0,2786.0,39331.0,12.565491397230991,55.677960848602766
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,Andre faste tællinger,B: TUNG TRAFIK I ALT,2022,162.0,183.0,184.0,168.0,144.0,163.0,154.0,145.0,103.0,88.0,81.0,65.0,1640.0,12.565491397230991,55.677960848602766
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,Andre faste tællinger,CYK+KNALL,2022,1430.0,2488.0,1137.0,663.0,706.0,773.0,672.0,954.0,1592.0,2391.0,1766.0,1108.0,15680.0,12.565491397230991,55.677960848602766
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,Andre faste tællinger,CYKLER + KNALLERTER,2022,1388.0,2415.0,1094.0,642.0,678.0,741.0,647.0,915.0,1533.0,2332.0,1732.0,1077.0,15194.0,12.565491397230991,55.677960848602766
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,Andre faste tællinger,KØRETØJER ,2022,4097.0,3908.0,3207.0,2788.0,2934.0,3024.0,3087.0,3706.0,3873.0,3935.0,3561.0,2851.0,40971.0,12.565491397230991,55.677960848602766
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,Andre faste tællinger,LADCYKLER,2022,42.0,73.0,43.0,21.0,28.0,32.0,25.0,39.0,59.0,59.0,34.0,31.0,486.0,12.565491397230991,55.677960848602766
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,Andre faste tællinger,LASTBILER,2022,39.0,58.0,48.0,46.0,38.0,53.0,58.0,41.0,22.0,11.0,6.0,1.0,421.0,12.565491397230991,55.677960848602766
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,Andre faste tællinger,PERSONBILER + MC,2022,3245.0,3125.0,2427.0,1894.0,2071.0,2150.0,2233.0,2882.0,3222.0,3510.0,3163.0,2521.0,32443.0,12.565491397230991,55.677960848602766
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,Andre faste tællinger,"VAREVOGNE (MAX. 3,5 T)",2022,690.0,600.0,596.0,726.0,719.0,711.0,700.0,679.0,548.0,337.0,317.0,265.0,6888.0,12.565491397230991,55.677960848602766
3,Bredgade,nord for Kongens Nytorv,Andre faste tællinger,A: LET TRAFIK I ALT,2013,919.0,967.0,822.0,769.0,758.0,827.0,764.0,815.0,961.0,1064.0,1087.0,777.0,10530.0,12.587600106423729,55.681163602385205
3,Bredgade,nord for Kongens Nytorv,Andre faste tællinger,B: TUNG TRAFIK I ALT,2013,68.0,67.0,63.0,69.0,61.0,53.0,58.0,43.0,34.0,27.0,23.0,19.0,585.0,12.587600106423729,55.681163602385205
3,Bredgade,nord for Kongens Nytorv,Andre faste tællinger,CYK+KNALL,2013,622.0,1003.0,452.0,223.0,200.0,232.0,289.0,341.0,596.0,897.0,717.0,385.0,5957.0,12.587600106423729,55.681163602385205
3,Bredgade,nord for Kongens Nytorv,Andre faste tællinger,CYKLER + KNALLERTER,2013,613.0,985.0,442.0,219.0,191.0,227.0,285.0,331.0,580.0,881.0,710.0,385.0,5849.0,12.587600106423729,55.681163602385205
3,Bredgade,nord for Kongens Nytorv,Andre faste tællinger,KØRETØJER ,2013,987.0,1034.0,885.0,838.0,819.0,880.0,822.0,858.0,995.0,1091.0,1110.0,796.0,11115.0,12.587600106423729,55.681163602385205
3,Bredgade,nord for Kongens Nytorv,Andre faste tællinger,LADCYKLER,2013,9.0,18.0,10.0,4.0,9.0,5.0,4.0,10.0,16.0,16.0,7.0,0.0,108.0,12.587600106423729,55.681163602385205
3,Bredgade,nord for Kongens Nytorv,Andre faste tællinger,LASTBILER,2013,9.0,9.0,10.0,11.0,5.0,13.0,7.0,7.0,1.0,1.0,1.0,0.0,74.0,12.587600106423729,55.681163602385205
3,Bredgade,nord for Kongens Nytorv,Andre faste tællinger,PERSONBILER + MC,2013,682.0,760.0,625.0,534.0,556.0,620.0,582.0,659.0,827.0,955.0,993.0,705.0,8498.0,12.587600106423729,55.681163602385205
